Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
74,Deonte Burton\burtode02,SG,25,OKC,15,131,8.0,.504,.283,.130,0.8,12.1,6.4,5.3,1.1,3.2,12.6,17.3,,-0.1,0.2,0.1,.050,,-5.9,0.2,-5.7,-0.1
75,Jimmy Butler\butleji01,SG,29,TOT,25,832,21.5,.580,.256,.340,5.7,10.1,7.9,16.1,2.9,1.9,7.6,23.4,,2.1,0.9,3.0,.175,,3.2,0.5,3.7,1.2
75,Jimmy Butler\butleji01,SG,29,MIN,10,361,22.6,.579,.287,.389,4.7,10.7,7.7,18.5,3.2,2.4,7.1,23.1,,1.0,0.4,1.4,.184,,4.0,1.4,5.3,0.7
75,Jimmy Butler\butleji01,SG,29,PHI,15,471,20.7,.581,.234,.304,6.5,9.7,8.2,14.3,2.6,1.5,8.0,23.6,,1.1,0.5,1.7,.169,,2.5,-0.1,2.4,0.5
76,Jose Calderon\caldejo01,PG,37,DET,22,273,7.3,.392,.452,.113,2.2,7.8,4.9,24.8,2.1,0.6,17.7,12.1,,-0.1,0.3,0.2,.032,,-3.8,-0.1,-4.0,-0.1
77,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,31,690,12.2,.567,.584,.285,2.3,9.1,5.8,5.1,1.7,0.6,6.0,15.9,,0.9,0.6,1.5,.105,,0.1,-1.3,-1.1,0.2
78,Isaiah Canaan\canaais01,PG,27,PHO,19,503,7.6,.515,.558,.155,1.1,9.8,5.4,17.5,1.2,0.0,17.4,14.5,,-0.1,0.1,0.0,.002,,-2.4,-1.9,-4.3,-0.3
79,Clint Capela\capelca01,C,24,HOU,29,979,24.4,.642,.000,.309,15.5,25.0,20.1,7.6,0.9,5.4,11.0,19.7,,3.2,1.0,4.1,.202,,1.7,1.4,3.2,1.3
80,DeMarre Carroll\carrode01,SF,32,BRK,21,478,10.4,.508,.556,.377,4.9,19.1,11.8,5.0,0.9,0.3,10.9,18.9,,0.1,0.3,0.4,.043,,-2.2,-2.1,-4.3,-0.3
81,Jevon Carter\carteje01,PG,23,MEM,2,48,6.4,.471,.529,.000,0.0,9.8,4.8,6.6,3.2,2.0,15.0,19.2,,-0.1,0.1,0.0,-0.033,,-5.2,0.3,-4.8,0.0
82,Vince Carter\cartevi01,SF,42,ATL,27,476,11.1,.544,.625,.125,2.2,12.7,7.3,8.3,1.5,1.8,7.8,16.5,,0.3,0.2,0.5,.049,,-1.1,-1.5,-2.6,-0.1
83,Wendell Carter\cartewe01,C,19,CHI,31,771,15.4,.538,.095,.333,7.8,21.1,14.5,12.5,1.1,5.3,14.2,20.1,,0.3,0.9,1.2,.077,,-2.7,2.5,-0.2,0.4
84,Michael Carter-Williams\cartemi01,PG,27,HOU,15,140,12.6,.468,.281,.456,2.4,8.6,5.4,22.8,3.2,3.7,12.7,24.7,,-0.1,0.1,0.1,.025,,-3.3,-0.5,-3.7,-0.1
